file_id,label
1_0,0
2_0,0
3_0,0
4_0,0
5_0,0
6_0,0
7_0,0
8_0,0
9_0,0
10_0,0
11_0,0
12_0,0
13_0,0
14_0,0
15_0,0
16_0,0
17_0,0
18_0,0
19_0,0
20_0,0
21_0,0
22_0,0
23_0,0
24_0,0
25_0,0
1_1,1
2_1,1
3_1,1
4_1,1
5_1,1
6_1,1
7_1,1
8_1,1
9_1,1
10_1,1
11_1,1
12_1,1
13_1,1
14_1,1
15_1,1
16_1,1
17_1,1
18_1,1
19_1,1
20_1,1
21_1,1
22_1,1
23_1,1
24_1,1
25_1,1
1_2,2
2_2,2
3_2,2
4_2,2
5_2,2
6_2,2
7_2,2
8_2,2
9_2,2
10_2,2
11_2,2
12_2,2
13_2,2
14_2,2
15_2,2
16_2,2
17_2,2
18_2,2
19_2,2
20_2,2
21_2,2
22_2,2
23_2,2
24_2,2
25_2,2
1_3,3
2_3,3
3_3,3
4_3,3
5_3,3
6_3,3
7_3,3
8_3,3
9_3,3
10_3,3
11_3,3
12_3,3
13_3,3
14_3,3
15_3,3
16_3,3
17_3,3
18_3,3
19_3,3
20_3,3
21_3,3
22_3,3
23_3,3
24_3,3
25_3,3
1_4,4
2_4,4
3_4,4
4_4,4
5_4,4
6_4,4
7_4,4
8_4,4
9_4,4
10_4,4
11_4,4
12_4,4
13_4,4
14_4,4
15_4,4
16_4,4
17_4,4
18_4,4
19_4,4
20_4,4
21_4,4
22_4,4
23_4,4
24_4,4
25_4,4
1_5,5
2_5,5
3_5,5
4_5,5
5_5,5
6_5,5
7_5,5
8_5,5
9_5,5
10_5,5
11_5,5
12_5,5
13_5,5
14_5,5
15_5,5
16_5,5
17_5,5
18_5,5
19_5,5
20_5,5
21_5,5
22_5,5
23_5,5
24_5,5
25_5,5
1_6,6
2_6,6
3_6,6
4_6,6
5_6,6
6_6,6
7_6,6
8_6,6
9_6,6
10_6,6
11_6,6
12_6,6
13_6,6
14_6,6
15_6,6
16_6,6
17_6,6
18_6,6
19_6,6
20_6,6
21_6,6
22_6,6
23_6,6
24_6,6
25_6,6
1_7,7
2_7,7
3_7,7
4_7,7
5_7,7
6_7,7
7_7,7
8_7,7
9_7,7
10_7,7
11_7,7
12_7,7
13_7,7
14_7,7
15_7,7
16_7,7
17_7,7
18_7,7
19_7,7
20_7,7
21_7,7
22_7,7
23_7,7
24_7,7
25_7,7
1_8,8
2_8,8
3_8,8
4_8,8
5_8,8
6_8,8
7_8,8
8_8,8
9_8,8
10_8,8
11_8,8
12_8,8
13_8,8
14_8,8
15_8,8
16_8,8
17_8,8
18_8,8
19_8,8
20_8,8
21_8,8
22_8,8
23_8,8
24_8,8
25_8,8
1_9,9
2_9,9
3_9,9
4_9,9
5_9,9
6_9,9
7_9,9
8_9,9
9_9,9
10_9,9
11_9,9
12_9,9
13_9,9
14_9,9
15_9,9
16_9,9
17_9,9
18_9,9
19_9,9
20_9,9
21_9,9
22_9,9
23_9,9
24_9,9
25_9,9
